Name,Width,Height,Depth,Painter,Country,Price,Category
Underneath The Surface pt. 4,42,59.4,0.2,Lilo Lott,Germany,$280,Paintings
"Serie ""Black n' White"" 4",80,120,4,Isabelle Collett,France,"$1,510",Paintings
Green Lake,120,120,2,Angelika Toth,,"$5,950",Paintings
"New life, new adventures (Gorgona)",100,110,2,Monika Mrowiec,Poland,"$1,640",Paintings
Dichotomy no.2,50.8,66,5.1,MoMo Goodrum,United States,"$1,010",Paintings
Autumn Forest Path,51,76,1.8,Marc Todd,United Kingdom,"$1,090",Paintings
When I went to Niterói,68.6,83.8,2.5,luise eru,Brazil,"$2,210",Paintings
A Crush on Color (#20),60,90,4,Carla Sa Fernandes,Portugal,"$1,000",Paintings
Mulled Wine,50.8,40.6,3.8,Victor Tkachenko,Canada,"$1,380",Paintings
Freedom,55,77,3.4,Danielle Russell,,"$1,243",Paintings
Bird And Flower,39.5,40,0,Yiwu Shen,,$185,Paintings
Magazine,88.9,109.2,2.5,luise eru,Brazil,"$2,970",Paintings
Jungle Boogie,61,76.2,4.3,David Trowbridge,United States,$900,Paintings
ENiGMA,121.9,121.9,0.3,Linnea Heide,United States,"$1,970",Paintings
Compadecida,89.9,110,5.1,luise eru,Brazil,"$3,030",Paintings
Market,63.5,83.8,5.1,Smith Olaoluwa,Nigeria,"$3,670",Paintings
Urban Landscape: Sunrise,70,100,0.1,Tarli Bird,Australia,$630,Paintings
"""Lost City""",121.9,91.4,3.8,Lisa Finlayson,United States,"$1,920",Paintings
Vintage plane,39.4,31.5,0.8,Marcela Montemayor,Mexico,"$2,210",Paintings
Muham 02,43,51,1,luise eru,Brazil,"$3,270",Paintings
Buy dreams with me,31,35,0.1,luise eru,Brazil,"$2,870",Paintings
Forth 6,50,60,2,Rebekah Andrade,United States,"$5,850",Paintings
Richard the monk.,15.7,19.7,0.8,Artur Sobieszek,Poland,"$1,140",Paintings
the trip,14,16,2.5,Hailey Young,United States,"$4,110",Paintings
"Towards, or Away (Divergent)",18,24,1.5,Kristina Baker,United States,"$2,070",Paintings
Endless Surf. Summer. Ocean,39.4,31.5,1.2,Trayko Popov,Bulgaria,"$2,060",Paintings
Greens (6),11,14,0.1,Susan Carson,United States,$499,Paintings
Winter,10.4,14.6,0.1,Veronica Aron,Georgia,$630,Paintings
To Believe in Tomorrow,72,35.4,0,Rashna Hackett,United Kingdom,"$1,580",Paintings
Unconditional,43.3,59.1,2,Bernard Simunovic,Germany,"$13,000",Paintings
Amateur,39,49,2,luise eru,Brazil,"$3,530",Paintings
Exodus,43,59,2,luise eru,Brazil,"$3,370",Paintings
Natural Habitat I,31.5,31.5,2,D Rodriguez Vasseur,Spain,"$1,060",Paintings
1000 COLORS OF YOUR LIPS,39.4,47.2,0.8,Elisaveta Sivas,Estonia,"$1,460",Paintings
Canna Days,36,48,1.5,Hannah Brown,United States,"$3,010",Paintings
Possession,28.7,23.6,0.8,Aurélie Goarzin,Reunion,$918,Paintings
Beautiful Autumn,24.2,13.8,0,Yiwu Shen,,$225,Paintings
Evergreen,15,11.8,0.8,Janicke Johansen,Australia,$470,Paintings
Mujer Azul,30,40,0.1,Franck de las Mercedes,United States,"$5,350",Paintings
Et la forêt profonde #1,19.7,25.6,0,Sabine Chanavat,France,$590,Paintings
OCEAN ONLY,19.7,19.7,0.4,mEA AMBROZO,France,"$3,010",Paintings
Simple Action,35,39,1,luise eru,Brazil,"$2,500",Paintings
"Still III, Grand Canyon",7.9,7.9,0.8,Delphine Rocher,France,$420,Paintings
It's My Party and I Cry If I Want to,39.4,47.2,0.8,Wencke Uhl,Germany,"$3,070",Paintings
LX 21,78.7,39.4,1.6,Viktor Antonuyuk,,$940,Paintings
SUNRAY.,18,24,0.8,Daria Borisova,United States,$765,Paintings
The Emotional Creation #265,70.9,53.1,1.6,Carla Sa Fernandes,Portugal,"$8,750",Paintings
Caring for the Household Pets,53,33,1.5,Zack Goulet,United States,"$1,010",Paintings
Flower on asphalt,43,47,1,luise eru,Brazil,"$2,510",Paintings
Unknown sea,72,30,1.5,Elena Petrova,Canada,"$1,610",Paintings
Your Body Becomes The Vehicle For My Loss (Study),16,20,0.5,Kristina Baker,United States,$565,Paintings
Summer in Croatia II,16.1,22.4,0.4,Roxana Daniela Ajder,Romania,"$1,860",Paintings
Julius,46,55,2,luise eru,Brazil,"$11,000",Paintings
Forever green,39.4,31.5,1,Mariusz Makula,Poland,"$1,000",Paintings
Notturno - Super sized original floral landscape,35.4,62.2,0.1,cecilia frigati,Italy,"$2,710",Paintings
Building my house,27.6,31.5,2,luise eru,Brazil,"$3,010",Paintings
Hellblau,39.4,47.2,2,Thomas Ernst,Germany,"$2,270",Paintings
keep on,31,70,1,luise eru,Brazil,"$3,970",Paintings
Can you see the future?,39,43,1,luise eru,Brazil,"$2,110",Paintings
Reves et Pyjama,55.1,55.1,2,Claire Denarie-Soffietti,South Africa,"$15,050",Paintings
dreaming of a better world,43.3,59.1,2,Bernard Simunovic,Germany,"$9,410",Paintings
pomegranate garden,11.8,15.7,0.4,Veronica Aron,Georgia,$850,Paintings
Boren from Kyselka,27.2,18.5,0.2,Nadezhda Gellmundova,Czech Republic,$887,Paintings
meditation,23.6,23.6,1.2,Clinton Artisto,Kenya,"$1,660",Paintings
At the Bus Stop,9,12,0.1,Marina Egorova,Canada,$200,Paintings
Art Basel Miami Beach,104.3,49.2,2,Peter Vahlefeld,Germany,"$15,600",Paintings
Blue,27.6,39.4,0,Mister Artsy Graffiti Street Art Amsterdam,Netherlands,$470,Paintings
Slings and Arrows (Study),16,20,0.5,Kristina Baker,United States,$565,Paintings
Jauna Teika,31.5,31.5,0.8,Ivan Onnellinen,Latvia,"$1,850",Paintings
EVENING NEW YORK,24,24,1,Irina Alexandrina,United States,$980,Paintings
NATURE FLOW I,9.5,31.5,7.5,SHADIA SABAGH,United States,$800,Paintings
The Thinker,51.2,35.4,1,Cveto Vidovic,Slovenia,"$4,950",Paintings
SUMMER FEELING,33.5,41.3,0.8,Silke Host,France,"$2,400",Paintings
A Road Out of Franschoek Pass,43.3,29.5,1,Richardt Beyleveld,South Africa,$995,Paintings
Forrest,31.9,31.9,1,Mercedes Lopez Charro,Spain,$785,Paintings
Time without carnival,31,39,2,luise eru,Brazil,"$2,210",Paintings
Posse #2,16.5,11.8,2,Marc Bowditch,Germany,"$1,040",Paintings
River's Edge,40,48,1.7,David Trowbridge,United States,"$1,700",Paintings
DOWN THE RABBIT HOLE n.12,39.4,40,1.6,Guido Pierandrei,Italy,"$1,710",Paintings
Lugar de mora,45,55,2,luise eru,Brazil,"$11,000",Paintings
Angus,31.5,39.4,1,luise eru,Brazil,"$3,060",Paintings
Esquel vineyards,55.1,39.4,2,Federico Tesei,Argentina,"$2,410",Paintings
sunny,8.7,9.4,0,Veronica Aron,Georgia,$850,Paintings
kilometers by water,45,51,2,luise eru,Brazil,"$11,000",Paintings
Ribeirinho,27.6,31.5,1,luise eru,Brazil,"$2,870",Paintings
Stand by Me,43.3,59.1,2,Bernard Simunovic,Germany,"$10,500",Paintings
Beyond All - Extra large original abstract landscape,59.8,24,0.1,cecilia frigati,Italy,"$2,110",Paintings
I live where nobody lives,37,47,1,luise eru,Brazil,"$2,870",Paintings
Blooming Spring,24,48,1.5,Stephanie Rivet,Canada,"$2,010",Paintings
Forth 3,42,50,1.5,Rebekah Andrade,United States,"$4,850",Paintings
Endless afternoons,47,51,1,luise eru,Brazil,"$5,250",Paintings
Late afternoon,51,39,1,luise eru,Brazil,"$3,470",Paintings
red man 2,47.2,39.4,0.8,Petar Kochevski,Bulgaria,"$6,550",Paintings
LeBron James Taking it to the Rack,24,36,2,Philip Levine,United States,"$2,480",Paintings
30,51,65,1,luise eru,Brazil,"$4,550",Paintings
Up Slowly,45,47,1,luise eru,Brazil,"$4,070",Paintings
Soak-Stain no.3,11.8,15.7,0.8,Petr Johan Marek,Czech Republic,$250,Paintings
Popcorn. Nostalgic. Childhood,39.4,27.6,1.2,Trayko Popov,Bulgaria,"$1,915",Paintings
Ballet Dancer,51,65,1,luise eru,Brazil,"$5,650",Paintings
a happy day,47.2,39.4,0.8,Petar Kochevski,Bulgaria,"$6,550",Paintings
Flowers and Cezanne,11.4,9.8,0.1,Erick Miranda,Chile,$580,Paintings
Running after a kite,39,47,1,luise eru,Brazil,"$3,370",Paintings
Time Immemorial,12,48,1.7,David Trowbridge,United States,"$1,160",Paintings
Tourmente 3,31.5,31.5,1.6,Isabelle Collett,France,"$1,080",Paintings
MINIMAL LINES,27.6,35.4,0.4,Ángel Rivas,Spain,$380,Paintings
Berries,15.7,15.7,1.6,Sviatlana Petushkova,Lithuania,"$1,040",Paintings
Asian women with sunflowers,23.6,23.6,0.8,Marina Ogai,South Korea,"$3,270",Paintings
Water of the flowers,27,39,1,luise eru,Brazil,"$4,650",Paintings
Quadrat VI/square VI,35.4,35.4,1.2,Monika Herschberger,Austria,"$1,810",Paintings
Majestic Waterfall,15.7,15.6,0,Yiwu Shen,,$345,Paintings
Black Circle,41.7,41.7,0.4,Khansaa Ruiz,Spain,"$1,460",Paintings
Just Work Boy,47,55,2,luise eru,Brazil,"$11,000",Paintings
Three Nymphs,63,39.4,0.8,Artur Soletskyi,Ukraine,"$1,140",Paintings
Mother Moth,24,20,0.8,Hannah Brown,United States,"$1,030",Paintings
desert sun,14,16,2.5,Hailey Young,United States,$655,Paintings
I'm Fine,24,30,1.5,MoMo Goodrum,United States,"$1,270",Paintings
Heavenly,23.6,23.6,0.8,Marina Ogai,South Korea,"$4,270",Paintings
Ten Years After,18,16,1.7,David Trowbridge,United States,$555,Paintings
Moondance Deconstructed,30,40,1.5,Cat Huss,United States,"$2,810",Paintings
[475] Keep It Simple,12.6,18.5,0.1,Ralph Lazar,United States,"$1,180",Paintings
Relatedness,27.6,39.4,2,Bernard Simunovic,Germany,"$6,950",Paintings
"Painting «Kiss» - Pop art style, Fashion Kiss, Fashion Canvas Pop Art, Modern digital art, Modern Art Painting, Pop art,",25.2,25.2,1,Alla Boiko,Austria,"$1,840",Paintings
The Heat and the Dust,12,12,0.1,Kat Crosby,United States,$175,Paintings
Good Night said the Fuschia,72,35.4,0,Rashna Hackett,United Kingdom,"$1,580",Paintings
Baltic Sea & Henry,14.2,20.1,0,Jaron Su,Netherlands,"$2,210",Paintings
As free as the ocean,61,61,2,Bernard Simunovic,Germany,"$17,000",Paintings
The First Domino,33,34,1,Elyas Sakaw,,$760,Paintings
LONELY MAN,24,24,1,Irina Alexandrina,United States,$980,Paintings
When I grow up you can live with me.,41,47,1,luise eru,Brazil,"$3,670",Paintings
In A Moment,17.5,15.2,1.3,Nicole Geerlings-Cijs,Netherlands,$465,Paintings
muro#,39.4,27.6,1.6,Marilina Marchica,Italy,"$2,100",Paintings
St. Louis 7,24,18,0.1,Jessica Eichman,United States,$545,Paintings
Beam of Light | Original Portrait Piece | Emma's Artwork,11.8,10.2,0.6,Emma Hindle,,$260,Paintings
Ether Garden,25.5,29.5,2.5,Novi Lim,United States,"$1,500",Paintings
Rio,39,47,2,luise eru,Brazil,"$2,900",Paintings
The Art of Travelling,78.7,53.1,2,Peter Vahlefeld,Germany,"$14,400",Paintings
Breath,39.4,39.4,1.6,Isabelle Collett,France,"$1,810",Paintings
Glow of sunset 11,27.6,27.6,1.2,xuan khanh nguyen,Vietnam,"$2,210",Paintings
[470] Everything You Can Imagine Is Real,12.6,18.5,0.1,Ralph Lazar,United States,"$1,180",Paintings
Festival,47.2,33.5,1.2,Phung Wang,Vietnam,"$1,260",Paintings
Phantasmagorical,16,18,1.7,David Trowbridge,United States,$555,Paintings
The Emotional Creation #353,78.7,39.4,1.6,Carla Sa Fernandes,Portugal,"$7,200",Paintings
The Emotional Creation #349,78.7,39.4,1.6,Carla Sa Fernandes,Portugal,"$7,200",Paintings
Crew,47,51,1,luise eru,Brazil,"$4,270",Paintings
To Stand In Wonder,63,55.1,1,Nicole Geerlings-Cijs,Netherlands,"$5,650",Paintings
Flooded Forest No.2 (Killarney),72,48,0.3,Patrick Augustine,United States,"$12,750",Paintings
Bojagi No.1,18,24,1,Ayse Sirin Budak,United States,$880,Paintings
Forsythia,8,10,2,Hazel Miller,United States,"$1,970",Paintings
Bent Out Of Shape,30,24,1.7,David Trowbridge,United States,$900,Paintings
Automatic Mojo,30,24,1.7,David Trowbridge,United States,$900,Paintings
Homeplace 2,62,40,1.5,Patty Jo Beaton,Canada,"$2,210",Paintings
May Flowers,39.4,39.4,1.6,Gabriela Avila,Mexico,"$1,410",Paintings
The Emotional Creation #158,47.2,31.5,1.6,Carla Sa Fernandes,Portugal,"$3,460",Paintings
Actress,15.8,23.6,1,luise eru,Brazil,"$2,110",Paintings
this mortal life#2 紅塵#2,35.4,35.4,0.8,Kai-Hsing HUANG,Taiwan,"$4,750",Paintings
Landscape #11,24,20,1.5,Vadim Puyandaev,United States,"$1,540",Paintings
Lightning Rock'n'roll,141.7,56.7,0.1,Kaoru Shibuta,Japan,"$9,410",Paintings
Bouquet,19.7,15.7,1.2,Artem Brazhnik,Poland,$750,Paintings
Galileo,15,23,0.5,Libby Wells,United Kingdom,"$11,250",Paintings
"Pleinair in the Viktualienmarkt, Munich, Germany",23.6,15.7,0.1,Fernando Sorianello,Germany,$860,Paintings
Journalist,31,35,1,luise eru,Brazil,"$2,210",Paintings
Wish The World Away,18,16,1.7,David Trowbridge,United States,$555,Paintings
Strangeness,9.1,10.2,0.1,Veronica Aron,Georgia,$810,Paintings
Free Spirit,27.6,39.4,0.4,Perlet Boveland,Germany,"$1,660",Paintings
Crewmen,21.5,31.5,0.2,Nicholas Robertson,United Kingdom,$715,Paintings
Still life:Chinese China on the wooden desk t073,13.8,39.4,0.1,kunlong wang,,$578,Paintings
Murrina's Dance #1 - Super sized original floral painting,48.4,65.4,0.1,cecilia frigati,Italy,"$3,170",Paintings
A Crush on Color (#25),78.7,43.3,1.6,Carla Sa Fernandes,Portugal,"$5,000",Paintings
Harvest Time,20,16,0.7,Marina Egorova,Canada,$690,Paintings
I want to grow. You can stop shooting,35,39,1,luise eru,Brazil,"$3,270",Paintings
Warm City,13.8,9.8,0.8,Sanja Milenkovic,Italy,"$1,140",Paintings
The land of the apricots,41.7,38.2,0.8,Per Anders,Denmark,"$2,151",Paintings
Poppy Nights,48,48,1.5,Hannah Brown,United States,"$3,950",Paintings
along the way,14,16,2.5,Hailey Young,United States,$655,Paintings
Calm and passion,27.6,55.1,2,Bernard Simunovic,Germany,"$9,310",Paintings
Mom my car... It's here.,27,31,1,luise eru,Brazil,"$2,060",Paintings
Here Begins,36,36,2.2,Roger Colson,United Kingdom,"$4,300",Paintings
The Woods,40,30,1.3,rhea cutillo,United States,"$4,850",Paintings
Cora,47.2,47.2,1.8,Abigail Bowen,United Kingdom,"$5,350",Paintings
St. Louis 5,24,18,0.1,Jessica Eichman,United States,$545,Paintings
The brown horse,19.7,25.6,0,Tatiana Kovalchuk,,$510,Paintings
Flowers On a Starry Night,24,30,1.6,Marous Artist,Canada,"$1,410",Paintings
Greens (5),11,14,0.1,Susan Carson,United States,$499,Paintings
Coastal Walk 4 (Featured),11.8,11.8,1,Howard Sills,United Kingdom,$380,Paintings
abstract in red,15.7,15.7,0.4,Altin Furxhi,Italy,$579,Paintings
Impressionism landscape autumn  22,40,30,1,irfan mirza,United States,"$1,370",Paintings
Pont Neuf,59,71,2,Galen Cheney,United States,"$9,400",Paintings
Green garden,22,28,0.7,Nestor Toro,United States,"$1,500",Paintings
Don't worry mom I'm already big.,39,39,1,luise eru,Brazil,"$5,450",Paintings
The garden of mallow,18.1,21.7,0.8,Victoria Girerd,France,$540,Paintings
Teal blue turquoise yellow,18.1,13,0.8,corinne gegot,France,$570,Paintings
Something forgotten,19.7,25.6,0,Wendy Grace,Australia,$250,Paintings
Red Landscape,24,12,1.5,Vadim Puyandaev,United States,"$1,060",Paintings
Dichotomy no.1,20,26,2,MoMo Goodrum,United States,"$1,010",Paintings
The Postcard - Contemporary Pattern Art,24,24,0.1,Artistic Akash,India,$260,Paintings
Circulation,14.6,16.9,2,Jacqueline Talbot,,$595,Paintings
Souffle,39.4,39.4,1.6,Isabelle Collett,France,"$1,810",Paintings
Painter,22,24,0.1,Rinalds Vanadziņš,Latvia,$850,Paintings
Peanut Butter Cup No. 3,6,6,1,JJ Galloway,United States,$135,Paintings
I Need The Sunshine - Solitude,36,24,1.5,Melissa McGill,United States,"$1,400",Paintings
Rompeu o couro,51,51,2,luise eru,Brazil,"$11,000",Paintings
Blurred Vision - 26 Feeling Good,14,20,0.1,Joyce Ann Burton-Sousa,United States,$325,Paintings
Le Cirque est dans le Jardin,47.2,47.2,1.2,Claire Denarie-Soffietti,South Africa,"$12,700",Paintings
Play Again,47,47,1,luise eru,Brazil,"$4,270",Paintings
Your sarcastic comment ruined my day,9.6,12.6,0,Nikki Gerak,United Kingdom,$259,Paintings
Skate,24,28,2,Denise Dalzell,United States,"$1,050",Paintings
Possibility,19.7,19.7,0.8,Niki Hare,United Kingdom,"$2,440",Paintings
"Push, Pull, and Uncertainty 6",20,30,0.7,HyunRyoung Kim,Canada,"$3,290",Paintings
"Abstract Oil Painting ""White composition with green square""",13,20.5,0.8,Roman Dolgopolov,Poland,"$1,760",Paintings
The Once Great City,40,30,1.7,David Trowbridge,United States,"$1,115",Paintings
Through the green,13.8,9.8,0.8,Sanja Milenkovic,Italy,"$1,140",Paintings
Blind Faith,30,40,1.5,Newel Hunter,United States,"$4,550",Paintings
"Reflection 36, abstract informal no 2053-10",39.4,55.1,0.1,Robert H N Rich Niesse,Germany,"$2,500",Paintings
The Hills Are Alive,30.7,26.7,1,David Trowbridge,United States,$900,Paintings
LUZ INFINITA,39.4,23.6,0.4,Bruno Vázquez,Spain,"$1,410",Paintings
"Golden Hour, September",31.5,31.5,0.7,Sandy Dooley,United Kingdom,"$2,435",Paintings
On Our Way,34,21.5,1.5,Zack Goulet,United States,"$1,000",Paintings
Ostrich Head,8,14,0.1,Alex Tolstoy,United States,$590,Paintings
Peculiar Houses,38.6,53.5,1.2,Zory McGrath,Australia,"$2,800",Paintings
White Horse Reflects Thirst,15,30,1.1,PaTriCiA Bufkin,,"$1,350",Paintings
Landscape in my garden,47.2,23.6,0.4,Phung Wang,Vietnam,$960,Paintings
Autumn cynic,31.5,47.2,2,yossi kotler,Israel,"$5,540",Paintings
Canvas Play 20no63,18,14.9,1,Youngjin Jun,South Korea,"$1,460",Paintings
Shades of Sky No. 05,21.7,29.5,0,Ewa Matyja,Poland,$450,Paintings
Cheetah 021,39.4,27.6,0.1,jingshen you,China,$660,Paintings
Get the chicken there rapa!,41,49,1,luise eru,Brazil,"$3,070",Paintings
Silver,47,35,1,luise eru,Brazil,"$2,870",Paintings
So Remember,19.7,19.7,0.8,Niki Hare,United Kingdom,"$2,440",Paintings
Suspension 1.,11.4,16.1,0,Frederic Belaubre,France,$160,Paintings
"""Impressions Organiques n°4""",39.4,111,0,Marijah Bac Cam,France,"$5,450",Paintings
Prince Valium,39.4,39.4,0.6,Mr Popcorn,,"$2,210",Paintings
Urban Landscape: Murray River Sunrise 2,27.6,39.4,0,Tarli Bird,Australia,$630,Paintings
Shades of Sky No. 03,21.7,29.5,0,Ewa Matyja,Poland,$450,Paintings
Abiquiu Sage II,18,24,1.5,Kevin H Komadina,United States,"$1,675",Paintings
Modern dalbit (moonlight)2022-4,57.3,38,0.9,Zinna Yoo,South Korea,"$5,900",Paintings
It all make sense,11,14,0.9,Nikki Gerak,United Kingdom,$218,Paintings
redondo green,36,48,2,gavin mc groggan,United States,"$1,020",Paintings
Homeplace 1,48,24,1.5,Patty Jo Beaton,Canada,"$1,630",Paintings
NYC taxis,51.2,51.2,0.8,Marta Zawadzka,Poland,"$3,900",Paintings
St. Louis 3,24,18,0.1,Jessica Eichman,United States,$545,Paintings
Yellow Cat,27.6,19.8,0.2,Jiri Havlik,Czech Republic,"$1,259",Paintings
"Chickens, Chickens, Everywhere",36,36,1.5,Lorette C Luzajic,Canada,"$1,910",Paintings
The River Flows,72,35.4,0,Rashna Hackett,United Kingdom,"$1,580",Paintings
Woman playing Sikus,23.6,23.6,1.6,Gisella Stapleton,United Kingdom,"$2,040",Paintings
Peony Power No. 1,72,48,1.5,Cat Tesla,United States,"$8,800",Paintings
14:01,55.1,63,0,Ion Vacareanu,Romania,$235,Paintings
Stillness,59.8,48,1.5,Natalie Uhrik,Australia,"$2,300",Paintings
nature,22,28,1,Michael Foulkrod,United States,"$3,210",Paintings
Masters (Koons meets Vuitton),47.2,66.9,2,Peter Vahlefeld,Germany,"$10,800",Paintings
Gauguin and the Voyage to the Exotic,126,78.7,2,Peter Vahlefeld,Germany,"$25,000",Paintings
CS_5th Session #5,28,30,1.5,Rebekah Andrade,United States,"$2,590",Paintings
Windswept Beauty that Moves Outside,46,58,1.5,Drew Gaffney,United States,"$3,950",Paintings
Blue Bay | La Passe,11.8,9.8,0.8,Yuliya Martynova,United Kingdom,$380,Paintings
Crabs on newspaper,24,24,1,Juli Stankevych,Ukraine,"$1,030",Paintings
Mind Forest,36,48,1.5,DL Watson,United States,"$4,600",Paintings
'I Don't Need To Hear It',7.9,7.9,0.8,Robert Bubel,Poland,$940,Paintings
Just write Carol,49,55,2,luise eru,Brazil,"$11,000",Paintings
Ravello Painting (1240),48,36,0.1,Agostino Veroni,Italy,$609,Paintings
There are so many dreams,53,59,1,luise eru,Brazil,"$4,000",Paintings
Electric Woman,43,51,1,luise eru,Brazil,"$3,670",Paintings
Empty,11,14,0.9,Nikki Gerak,United Kingdom,$292,Paintings
Sweet Pea,12,16,1.5,JJ Galloway,United States,$545,Paintings
UNTITLED Portrait work (Elizabeth II),23.6,27.6,1,Tomoya Nakano,Japan,"$2,630",Paintings
A Golden Season Approaches,36,48,1.5,Julia Pinkham,United States,"$3,550",Paintings
Mum blossom - 8001 - Chrysanthemum series,15.7,15.7,0.2,Theresia Maagdenberg,Netherlands,$940,Paintings
Nature 202,74.8,55.1,1.6,muriel napoli,France,"$13,750",Paintings
Bag of tomatoes,11.8,16.1,0.4,Rosemary Burn,United Kingdom,$710,Paintings
Nice girl.,31.5,39.4,0.8,Daheaven art,Latvia,"$1,424",Paintings
Flores concebidas a próprio punho,51,55,2,luise eru,Brazil,"$11,000",Paintings
Golden hour,39.4,39.4,0.4,Liza Illichmann,Germany,"$1,310",Paintings
GOLD BRILLIANCE TWO,15.7,19.7,2.8,Sander Foppele,,$835,Paintings
Teacher,37,45,1,luise eru,Brazil,"$2,710",Paintings
Midnight dance,27.6,31.5,2,luise eru,Brazil,"$2,210",Paintings
Days of October,30,29,1,john long,United States,"$1,100",Paintings
WAITING FOR,39.4,39.4,0.8,jean-humbert savoldelli,France,"$3,710",Paintings
Untitled (part of curious series),15,11,0.5,dimeji onafuwa,United States,$815,Paintings
Bouquet of Hope,19.7,29.5,0.8,Katalin Macevics,United Kingdom,"$1,087",Paintings
Communique - Bold Statement,16,16,1,R Tucker,United States,$575,Paintings
Portrait of a Lady in Blue Rain,30,40,1.5,Chin h Shin,United States,"$5,350",Paintings
Snowy Beach,16,20,0.7,Mary Hubley,United States,"$1,300",Paintings
Dances 5/21 ריקודים,31.5,31.5,0.8,Yohanan Delaunay-Israel,Israel,"$3,575",Paintings
URBAN FOREST 14,48,48,1.5,Chin h Shin,United States,"$10,100",Paintings
Blue,35,43,1,luise eru,Brazil,"$2,010",Paintings
Little Strongheart,33,39,1,luise eru,Brazil,"$3,000",Paintings
Sunset #4 - Large original abstract landscape,48.8,30.3,0.1,cecilia frigati,Italy,"$1,860",Paintings
Lighting The Way,31.5,39.4,1.1,Nicole Geerlings-Cijs,Netherlands,"$1,585",Paintings
Good Times III,36,36,1.6,Sophia Oshodin,United Kingdom,"$3,261",Paintings
Look For The Force II,31.5,39.4,0.7,Elide Pizzini,Italy,"$1,739",Paintings
The red butterfly,39.4,39.4,1.6,Hennie van de Lande,Netherlands,"$3,070",Paintings
Olive II,47.2,59.1,0.8,Rudi Cotroneo,Austria,"$3,950",Paintings
Canvas Play 21no17,35.8,28.6,1,Youngjin Jun,South Korea,"$3,370",Paintings
Connected together,19.7,47.2,1.2,Miri Baruch,Israel,"$1,850",Paintings
CITY WALL 8,22,28,0.7,Louis Gribaudo,United States,$775,Paintings
Tours in Santa Cruz,47,47,2,luise eru,Brazil,"$3,670",Paintings
Elzas 01,33,39,2,luise eru,Brazil,"$3,270",Paintings
Autumn,27.6,35.4,1.2,Catherine Denvir,United Kingdom,$980,Paintings
image-face(model),23.6,31.5,1.5,GyoBeom An,South Korea,"$2,460",Paintings
Sand Flowers III,78.7,39.4,0.8,Erna Ucar,Turkey,"$2,875",Paintings
Tangerine Dream,48,60,1.5,Cat Tesla,United States,"$6,600",Paintings
"Autumn, travelling clouds (featured)",27.6,27.6,0.8,Nelly van Nieuwenhuijzen,Netherlands,$840,Paintings
Calibration,31.5,39.4,1.6,Jack Mason,Germany,"$1,800",Paintings
Walk to my smile,43,47,1,luise eru,Brazil,"$3,770",Paintings
High Line Park,16,20,1,Philip Levine,United States,"$2,045",Paintings
MADONNA woman,31.5,39.4,0.4,Raquel Sarangello,Argentina,"$4,270",Paintings
The Jade Rose,31.5,31.5,0.1,Tran Xuan Binh,Vietnam,"$16,000",Paintings
Tropic Funk- 200 x 85cm acrylic on canvas,78.7,33.5,1.4,George Hall,Australia,"$3,050",Paintings
Hypocrisy # 12,47.2,31.6,1,Rodrigue Semabia,United States,"$1,992",Paintings
Blue Bay | Baahl Bay,18.1,14.2,0.8,Yuliya Martynova,United Kingdom,$860,Paintings
mount lemmon,14,16,2.5,Hailey Young,United States,$655,Paintings
"Amber, Manito Rose Garden, July 2022",24,36,1.5,Hazel Miller,United States,"$2,910",Paintings
Liberty - Large original floral landscape,39.4,33.5,0.1,cecilia frigati,Italy,"$1,610",Paintings
Loneliness on the Corner,40,47,2,luise eru,Brazil,"$11,000",Paintings
Magenta,23.6,27.6,1.6,Mandy Racine,Spain,"$3,970",Paintings
Where am I riding my horse?,47.2,39.4,0.7,Elisaveta Sivas,Estonia,"$10,000",Paintings
aerial view,44,55,2,john long,United States,"$3,290",Paintings
Flowering Scoparia,40.9,40.9,1.6,Belinda Nadwie,Australia,"$1,420",Paintings
Caramel Candy No. 2,6,6,1,JJ Galloway,United States,$135,Paintings
Traced by the Sea,16,20,1,Peggy Cozzi,United Kingdom,"$1,140",Paintings
Rabbit,30.5,40.6,0.3,Alicia Vineyard,United States,$190,Paintings
Sunset on Empire City,121.9,91.4,3.8,Ann Marie Coolick,United States,"$10,350",Paintings
"""Passage II""",14,14,0.6,Robert Mojsov,Macedonia,$400,Paintings
ENTROPY #5,100,100,3,Joanna Roszkowska,Poland,"$1,010",Paintings
Tree like a growing city,110,95,2,Robertas Kasperovicius,Lithuania,$520,Paintings
Woman man guitar player I dancers,100,80,1,Karibou Art,Serbia,"$4,700",Paintings
Star birth,80,80,2,Tigran Mamikonyan,Armenia,"$2,010",Paintings
General Head,61,81.3,1.9,Francois Desnoyers,Canada,"$1,330",Paintings
Cloud over Bryce Canyon,91.4,50.8,0.3,Frank Fang,United States,"$1,180",Paintings
beyond horizons,40,40,0.1,Conny Lehmann,Switzerland,$390,Paintings
Lapis,80,100,3,Raúl Lara,Spain,"$2,500",Paintings
Night Play,35.6,35.6,1.8,Marina Egorova,Canada,$420,Paintings
Just a Pear,16.5,16.5,0.3,Marina Egorova,Canada,$230,Paintings
Blue Vase,21.6,27.9,0.3,Marina Egorova,Canada,$220,Paintings
Swimmer on blue,74,104,1,Alessandro Piras,Italy,"$2,870",Paintings
Young Harlequin with Apples,75,140,3,Anna Ravliuc-Bloomfield,United Kingdom,"$3,100",Paintings
